机顶盒设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号
10001,20170830,热点专题,穿越时空的少女(高清),20:57:06,21:00:28,10853
10001,20170829,精彩点,味道中国(高清)(“后舌尖时代”的味觉表达),19:49:08,20:34:01,10853
10001,20170830,热点专题,穿越时空的少女(高清)(小清新动漫的极致),20:57:06,21:00:28,10853
10001,20170830,精彩点,霍比特人：五军之战(高清)(魔幻最终一役),22:00:35,0:31:14,10853
10001,20170831,院线大片,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),21:30:36,21:36:33,10853
10001,20170727,精彩点,舌尖上的中国Ⅱ？心传(高清),20:24:13,21:13:13,10853
10004,20171029,精彩点,那年花开月正圆(34)(高清),22:09:33,22:40:48,10886
10004,20170803,精彩点,07月30日 极限挑战 第三季：孙红雷脸基尼抢镜(高清),22:04:12,22:10:15,10886
10010,20170724,精彩点,我们的少年时代(26)(高清),15:48:47,15:52:34,11021
10010,20170908,精彩点,10月15日 十二道锋味 第三季：谢霆锋守候极光 萧敬腾秒变雪孩子(高清),9:12:10,10:11:20,11021
10010,20171017,精彩点,10月14日 青春旅社：王源变身烧烤小弟(高清),16:51:54,19:24:01,11021
10010,20170719,精彩点,我的前半生(20)(高清),12:44:34,13:25:47,11021
10013,20171008,精彩点,09月24日 熊出没之环球大冒险(高清),11:13:33,19:11:47,11075
10013,20170823,精彩点,07月01日 贝肯熊(高清),10:28:59,10:54:39,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(06)(高清),11:50:29,12:36:44,11075
10013,20170910,精彩点,08月09日 小猪佩奇(高清),19:17:58,19:42:13,11075
10013,20170730,精彩点,07月01日 贝肯熊(高清),22:23:01,22:47:54,11075
10013,20170726,精彩点,05月13日 熊出没之春日对对碰,12:48:51,13:41:39,11075
10013,20170817,精彩点,欢乐颂2(37)(高清),16:58:56,17:02:05,11075
10013,20171010,精彩点,08月10日 小猪佩奇(高清),17:08:37,18:39:07,11075
10013,20170927,精彩点,08月12日 小猪佩奇(高清),11:32:27,12:30:40,11075
10013,20171001,精彩点,08月03日 小猪佩奇(高清),10:13:07,10:37:54,11075
10013,20170717,精彩点,07月04日 贝肯熊(高清),17:24:14,17:58:01,11075
10013,20170825,精彩点,07月03日 贝肯熊(高清),11:25:24,11:49:41,11075
10013,20170728,精彩点,07月02日 贝肯熊(高清),10:26:47,10:49:52,11075
10013,20171007,精彩点,08月07日 小猪佩奇(高清),13:36:01,20:04:27,11075
10013,20170819,精彩点,欢乐颂2(54)(高清),12:47:41,12:54:41,11075
10013,20170727,精彩点,07月12日 贝肯熊(高清),13:59:45,14:07:04,11075
10013,20170718,精彩点,07月01日 贝肯熊(高清),19:44:11,20:09:19,11075
10013,20171005,精彩点,大头儿子和小头爸爸(78)(高清),15:11:46,15:21:29,11075
10013,20170827,精彩点,07月10日 贝肯熊(高清),11:33:13,13:56:20,11075
10013,20170813,精彩点,07月01日 贝肯熊(高清),22:35:45,9:37:20,11075
10013,20170918,精彩点,大头儿子和小头爸爸(40)(高清),14:23:42,14:57:35,11075
10013,20170801,精彩点,07月03日 贝肯熊(高清),14:05:14,14:26:21,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(29)(高清),21:50:55,22:34:38,11075
10013,20170901,精彩点,07月02日 贝肯熊(高清),16:30:42,18:58:16,11075
10013,20171006,精彩点,07月26日 小猪佩奇(高清),11:00:05,11:20:07,11075
10013,20170813,精彩点,08月11日 熊出没之环球大冒险(高清),14:43:16,14:58:17,11075
10013,20170724,精彩点,07月03日 贝肯熊(高清),19:32:33,19:54:34,11075
10013,20170731,精彩点,05月13日 熊出没之春日对对碰,20:37:10,21:30:17,11075
10013,20170807,精彩点,07月10日 贝肯熊(高清),16:35:20,16:59:04,11075
10013,20170731,精彩点,07月03日 贝肯熊(高清),22:48:16,10:22:11,11075
10013,20170825,精彩点,07月02日 熊熊乐园(高清),17:35:28,18:55:01,11075
10013,20170916,精彩点,大头儿子和小头爸爸(35)(高清),14:10:24,19:17:14,11075
10013,20170918,精彩点,07月26日 熊熊乐园(高清),19:55:30,21:47:53,11075
10013,20170818,精彩点,07月02日 熊熊乐园(高清),20:22:32,20:35:47,11075
10013,20171013,精彩点,07月01日 贝肯熊(高清),17:18:23,17:49:35,11075
10013,20170725,精彩点,05月14日 熊出没之春日对对碰,16:54:55,18:45:37,11075
10013,20171015,精彩点,07月27日 小猪佩奇(高清),13:08:41,13:33:10,11075
10013,20170719,精彩点,07月02日 贝肯熊(高清),19:19:25,19:27:23,11075
10013,20170928,精彩点,08月03日 小猪佩奇(高清),8:48:03,9:12:58,11075
10013,20170720,精彩点,05月07日 熊出没之秋日团团转(高清),14:11:25,16:07:25,11075
10013,20170717,精彩点,07月05日 贝肯熊(高清),22:30:35,22:56:26,11075
10013,20171015,精彩点,09月16日 熊出没之丛林总动员(高清),19:37:33,20:21:23,11075
10013,20170717,精彩点,07月07日 贝肯熊(高清),23:07:15,23:31:53,11075
10013,20170920,精彩点,07月04日 贝肯熊(高清),19:57:25,20:22:33,11075
10013,20170825,精彩点,07月02日 贝肯熊(高清),11:03:05,11:25:26,11075
10013,20170808,精彩点,07月07日 贝肯熊(高清),13:07:00,13:31:52,11075
10013,20170818,精彩点,麻烦家族(高清)(黄磊电影处女作，鸡飞狗跳闹离婚),23:22:19,23:43:11,11075
10013,20171012,精彩点,那年花开月正圆(70)(高清),8:32:35,8:40:44,11075
10013,20170809,精彩点,07月06日 贝肯熊(高清),8:56:11,9:21:35,11075
10013,20170924,精彩点,了不起的盖茨比(高清),22:37:31,22:45:01,11075
10013,20170810,精彩点,07月01日 贝肯熊(高清),20:39:57,21:20:26,11075
10013,20170906,精彩点,少林问道(02)(高清),23:19:43,10:28:22,11075
10013,20170729,精彩点,07月04日 贝肯熊(高清),11:08:00,11:32:54,11075
10013,20170808,精彩点,07月09日 贝肯熊(高清),14:05:16,14:29:06,11075
10013,20170725,精彩点,07月02日 贝肯熊(高清),11:54:11,12:47:21,11075
